"region";"mun_obr";"oktmo";"year";"F1ST";"F1SIS";"F1SIGAL";"F1SSD";"F1SCM";"F1SNO";"F1SH";"F1SVOCS";"F1SOGAL";"F5SFS";"F5SFSD";"F5SFCM";"F5SFNO";"F5SFH";"F5STS";"F5STSD";"F5STCM";"F5STNO";"F5STH";"F1BTWC";"F1BSWC";"F1BGALWC";"F1BSDWC";"F1BCMWC";"F1BNO2WC";"F1BHWC";"F1BVOCSWC";"F1BOGALWC";"F1BTWCO";"F1BSWCO";"F1BGALWCO";"F1BSDWCO";"F1BCMWCO";"F1BNO2WCO";"F1BHWCO";"F1BVOCSWCO";"F1BOGALWCO";"F1BTTF";"F1BSTF";"F1BGALTF";"F1BSDTF";"F1BCMTF";"F1BNO2TF";"F1BHTF";"F1BVOCSTF";"F1BOGALTF";"F1BTTFC";"F1BSTFC";"F1BGALTFC";"F1BSDTFC";"F1BCMTFC";"F1BNO2TFC";"F1BHTFC";"F1BVOCSTFC";"F1BOGALTFC";"F1BTTFU";"F1BSTFU";"F1BGALTFU";"F1BSDTFU";"F1BCMTFU";"F1BNO2TFU";"F1BHTFU";"F1BVOCSTFU";"F1BOGALTFU";"F1BTE";"F1BSE";"F1BGALE";"F1BSDE";"F1BCME";"F1BNO2E";"F1BHE";"F1BVOCSE";"F1BOGALE"
Алтайский край;Алейский муниципальный район;"01601000";2019;377.483;112.22;265.263;15.264;204.013;18.655;21.227;1.311;4.793;105.055;15.211;200.523;18.554;0.664;7.165;0.053;3.49;0.101;0.839;375.761;110.498;265.263;15.264;204.013;18.655;21.227;1.311;4.793;369.037;107.339;261.698;15.252;203.053;18.609;19.206;1.086;4.492;27.889;27.889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.167;26.167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;377.483;112.22;265.263;15.264;204.013;18.655;21.227;1.311;4.793
Алтайский край;Алейский муниципальный район;"01601000";2020;660.181;181.732;478.449;27.221;286.212;29.927;126.077;2.394;6.618;165.885;26.298;279.176;27.526;0.0;15.847;0.923;7.036;2.401;2.671;656.755;178.306;478.449;27.221;286.212;29.927;126.077;2.394;6.618;523.608;170.12;353.488;27.081;283.924;28.051;13.401;0.583;0.448;97.179;97.179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;93.753;93.753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;660.181;181.732;478.449;27.221;286.212;29.927;126.077;2.394;6.618
Алтайский край;Алтайский муниципальный район;"01602000";2019;1470.43;400.082;1070.348;118.41;808.554;93.179;33.109;6.974;10.122;377.32;113.64;803.684;91.891;0.025;20.055;4.432;3.039;1.172;3.465;1456.976;386.631;1070.345;118.41;808.554;93.179;33.109;6.971;10.122;1412.549;385.283;1027.266;118.4;807.108;92.882;0.611;2.02;6.245;289.376;289.373;0.003;0.0;0.0;0.0;0.0;0.003;0.0;275.922;275.922;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.795;0.795;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1470.43;400.082;1070.348;118.41;808.554;93.179;33.109;6.974;10.122
Алтайский край;Алтайский муниципальный район;"01602000";2020;1406.511;395.461;1011.05;120.324;776.991;58.551;31.528;3.436;20.22;336.643;106.0655;675.954;48.97307;0.019;58.8184;14.259;102.825;9.644;3.417;1392.631;381.581;1011.05;120.324;776.991;58.551;31.528;3.436;20.22;1354.363;380.635;973.728;120.316;775.702;58.319;0.0;2.169;17.222;292.112;292.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;278.232;278.232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1406.511;395.461;1011.05;120.324;776.991;58.551;31.528;3.436;20.22
Алтайский край;Баевский муниципальный район;"01603000";2019;73.26;54.374;18.886;2.365;13.251;3.088;0.08;0.081;0.021;8.554;1.972;12.518;2.976;0.008;45.817;0.387;0.382;0.059;0.095;65.936;47.05;18.886;2.365;13.251;3.088;0.08;0.081;0.021;27.056;8.915;18.141;2.355;12.677;3.01;0.049;0.041;0.009;133.313;133.313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;125.989;125.989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.26;54.374;18.886;2.365;13.251;3.088;0.08;0.081;0.021
Алтайский край;Баевский муниципальный район;"01603000";2020;73.26;54.374;18.886;2.365;13.251;3.088;0.08;0.081;0.021;8.554;1.972;12.518;2.976;0.008;45.817;0.387;0.382;0.059;0.095;65.936;47.05;18.886;2.365;13.251;3.088;0.08;0.081;0.021;27.056;8.915;18.141;2.355;12.677;3.01;0.049;0.041;0.009;133.313;133.313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;125.989;125.989;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.26;54.374;18.886;2.365;13.251;3.088;0.08;0.081;0.021
Алтайский край;Бийский муниципальный район;"01604000";2019;1422.452;836.259;586.193;42.058;326.742;48.258;53.666;95.889;19.58;244.052;40.351;309.758;46.394;14.751;588.365;1.196;9.927;1.579;84.235;1416.216;830.023;586.193;42.058;326.742;48.258;53.666;95.889;19.58;841.205;329.142;512.063;41.477;319.122;46.748;8.237;87.721;8.758;256.617;248.667;7.95;0.013;0.059;0.0;0.242;7.636;0.0;250.381;242.431;7.95;0.013;0.059;0.0;0.242;7.636;0.0;7.94;0.0;7.94;0.012;0.05;0.0;0.242;7.636;0.0;1422.452;836.259;586.193;42.058;326.742;48.258;53.666;95.889;19.58
Алтайский край;Бийский муниципальный район;"01604000";2020;1576.711;855.51746982;721.1934553;57.184;415.0869178;66.998296;71.708;89.6350415;20.5812;252.243737365;55.83348;400.453982;62.989296;14.751;603.27323298;1.351;14.6330178;4.009;85.4270415;1555.371;834.17746398;721.1934553;57.184;415.0869178;66.998296;71.708;89.6350415;20.5812;911.694;333.83796948;577.855096;45.765;369.8029;53.549296;17.225;80.566;10.9469;399.947;394.03480584;5.9117;0.433;5.3279;0.1403;0.0;0.005;0.0055;378.607;372.6948;5.9117;0.433;5.3279;0.1403;0.0;0.005;0.0055;0.506;0.0008;0.5047;0.432;0.0589;0.0033;0.0;0.005;0.0055;1576.711;855.51746982;721.1934553;57.184;415.0869178;66.998296;71.708;89.6350415;20.5812
Алтайский край;Благовещенский муниципальный район;"01605000";2019;5504.994;4153.726;1351.268;436.094;368.797;499.759;7.184;25.485;13.949;2628.343;419.764;319.344;436.411;0.261;1525.383;16.33;49.451;63.348;25.224;2615.401;1264.133;1351.268;436.094;368.797;499.759;7.184;25.485;13.949;1322.168;123.456;1198.712;429.74;323.001;423.89;2.72;16.468;2.893;32595.874;32595.874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29706.281;29706.281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17412.899;17412.899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5504.994;4153.726;1351.268;436.094;368.797;499.759;7.184;25.485;13.949
Алтайский край;Благовещенский муниципальный район;"01605000";2020;6489.022;4517.847587;1971.17489356;574.57138845;494.14173182;633.69625066;204.1656987;40.14183371;24.45799022;2981.924;554.55;414.9236;560.9804;0.008;1535.923587;20.02138845;79.21813182;72.71578766;40.13383371;3272.559;1301.384587;1971.17489356;574.57138845;494.14173182;633.69625066;204.1656987;40.14183371;24.45799022;1949.346;145.63354;1803.71257356;568.87111045;433.08788282;564.29674966;201.9451537;25.71034971;9.80132722;32195.511;32195.511;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28979.048;28979.048;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16649.049;16649.049;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6489.022;4517.847587;1971.17489356;574.57138845;494.14173182;633.69625066;204.1656987;40.14183371;24.45799022
Алтайский край;Бурлинский муниципальный район;"01606000";2019;35.865;10.015;25.85;3.064;20.698;1.361;0.0;0.043;0.684;5.198;2.591;20.036;1.185;0.003;4.817;0.473;0.662;0.176;0.04;29.036;3.186;25.85;3.064;20.698;1.361;0.0;0.043;0.684;26.417;2.108;24.309;2.591;20.036;0.956;0.0;0.042;0.684;104.52;104.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.691;97.691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.272;7.272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.865;10.015;25.85;3.064;20.698;1.361;0.0;0.043;0.684
Алтайский край;Бурлинский муниципальный район;"01606000";2020;580.55;144.523;436.027;41.254;301.944;29.138;61.464;1.578;0.649;139.634;40.49;300.828;28.826;0.003;4.889;0.764;1.116;0.312;1.575;573.721;137.694;436.027;41.254;301.944;29.138;61.464;1.578;0.649;507.141;136.616;370.525;40.7;300.989;28.833;0.0;0.003;0.0;104.52;104.52;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.691;97.691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.829;6.829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;580.55;144.523;436.027;41.254;301.944;29.138;61.464;1.578;0.649
